STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/30/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/2/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/3/2017,0.01,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/5/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/7/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/10/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/11/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/12/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/16/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/17/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/18/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/19/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/20/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/21/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/22/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/23/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/24/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/25/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/29/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/30/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",7/31/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/6/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/8/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/9/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/10/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/11/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/12/2017,0.07,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/14/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/16/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/17/2017,0.08,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/19/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/20/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/21/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/23/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/25/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/26/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/27/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/28/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/29/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/30/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",8/31/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/1/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/2/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/3/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/4/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/5/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/6/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/7/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/8/2017,0.28,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/9/2017,0.02,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/10/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/11/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/12/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/13/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/14/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/15/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/16/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/17/2017,0.22,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/18/2017,0.12,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/19/2017,0.21,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/20/2017,0.04,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/21/2017,0.01,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/22/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/23/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/24/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/25/2017,0.03,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/26/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/27/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/28/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/29/2017,0.11,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",9/30/2017,0.01,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/1/2017,0.01,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/2/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/3/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/4/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/5/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/6/2017,0.03,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/7/2017,0.01,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/8/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/9/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/10/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/11/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/12/2017,0.04,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/13/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/14/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/15/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/16/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/17/2017,0.12,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/18/2017,2.48,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/19/2017,0.82,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/20/2017,0.03,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/21/2017,1.62,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/22/2017,0.04,,,,,
