"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT08","WT11"
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-18",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-19",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-20",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-23",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-24",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-25",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-26",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-31",,,"0.08",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-03",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-04",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-06",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-08",,,"0.06",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-11",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-12",,,"0.01",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-13",,,"0.04",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-14",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-15",,,"1.28",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-16",,,"0.02",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-17",,,"0.01",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-19",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-20",,,"0.00","0.0",,,,,,,,,,,,
